epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,183.211,0.93148,2.68154,0.24797,1.21438,1.04008,0.47128,0.21429,0.34789,0.23937,0.0025,0.21429,0.04015,0.01037,1.68567,8.77329,0.64889,2.98612,1.88383,0.000366058,0.000366058,0.000366058
79,185.346,0.77088,2.20541,0.38748,1.19363,1.03476,0.47128,0.21429,0.34789,0.23937,0.0025,0.21429,0.04015,0.01037,1.68567,8.77329,0.64889,2.98612,1.88383,0.000355368,0.000355368,0.000355368
80,187.279,0.6912,2.9589,0.32471,1.02794,1.00764,0.47128,0.21429,0.34789,0.23937,0.0025,0.21429,0.04015,0.01037,1.68567,8.77329,0.64889,2.98612,1.88383,0.000344282,0.000344282,0.000344282
81,189.526,0.72291,2.52698,0.32379,1.03966,0.98438,0.30753,0.5,0.36561,0.24754,0.0025,0.21429,0.04162,0.01308,1.79688,8.82318,0.65487,2.97635,1.99141,0.0003328,0.0003328,0.0003328
82,191.61,0.58067,1.89017,0.29123,0.9239,0.93955,0.30753,0.5,0.36561,0.24754,0.0025,0.21429,0.04162,0.01308,1.79688,8.82318,0.65487,2.97635,1.99141,0.000320922,0.000320922,0.000320922
83,193.841,0.64103,1.98121,0.26272,0.9051,0.89798,0.30753,0.5,0.36561,0.24754,0.0025,0.21429,0.04162,0.01308,1.79688,8.82318,0.65487,2.97635,1.99141,0.000308648,0.000308648,0.000308648
84,195.952,0.77803,3.09086,0.37804,1.10257,0.99126,0.12349,0.64286,0.37339,0.24273,0.03141,0.21429,0.05434,0.02189,1.7939,8.7811,0.6694,2.94675,2.00225,0.000295978,0.000295978,0.000295978
85,198.12,0.61023,2.12339,0.33636,0.96412,0.92703,0.12349,0.64286,0.37339,0.24273,0.03141,0.21429,0.05434,0.02189,1.7939,8.7811,0.6694,2.94675,2.00225,0.000282912,0.000282912,0.000282912
86,200.187,0.7502,1.53987,0.34782,1.51103,1.00367,0.12349,0.64286,0.37339,0.24273,0.03141,0.21429,0.05434,0.02189,1.7939,8.7811,0.6694,2.94675,2.00225,0.00026945,0.00026945,0.00026945
87,202.24,0.77242,2.06302,0.25667,1.10324,1.06129,0.12349,0.64286,0.37339,0.24273,0.03141,0.21429,0.05434,0.02189,1.7939,8.7811,0.6694,2.94675,2.00225,0.000255592,0.000255592,0.000255592
88,204.198,0.82304,2.26289,0.27713,1.1494,1.0327,0.10255,0.64286,0.41965,0.26015,0.03418,0.21429,0.05931,0.02287,1.8383,8.79678,0.65692,2.88284,2.01902,0.000241338,0.000241338,0.000241338
89,206.159,0.687,1.59773,0.29222,0.84071,0.94586,0.10255,0.64286,0.41965,0.26015,0.03418,0.21429,0.05931,0.02287,1.8383,8.79678,0.65692,2.88284,2.01902,0.000226688,0.000226688,0.000226688
90,208.406,0.67929,2.32455,0.29454,1.07359,0.98561,0.10255,0.64286,0.41965,0.26015,0.03418,0.21429,0.05931,0.02287,1.8383,8.79678,0.65692,2.88284,2.01902,0.000211642,0.000211642,0.000211642
91,210.568,0.57519,1.49737,0.30418,1.40896,1.00901,0.10255,0.64286,0.41965,0.26015,0.03418,0.21429,0.05931,0.02287,1.8383,8.79678,0.65692,2.88284,2.01902,0.0001962,0.0001962,0.0001962
92,212.515,0.55144,1.582,0.2634,1.32508,0.91944,0.37492,0.5,0.47285,0.30567,0.10712,0.14286,0.10328,0.04285,1.86117,8.78345,0.64376,2.81837,1.98623,0.000180362,0.000180362,0.000180362
93,214.697,0.77017,1.60082,0.27025,1.30229,0.95612,0.37492,0.5,0.47285,0.30567,0.10712,0.14286,0.10328,0.04285,1.86117,8.78345,0.64376,2.81837,1.98623,0.000164128,0.000164128,0.000164128
94,216.796,0.59713,1.12227,0.26421,1.30188,0.93592,0.37492,0.5,0.47285,0.30567,0.10712,0.14286,0.10328,0.04285,1.86117,8.78345,0.64376,2.81837,1.98623,0.000147498,0.000147498,0.000147498
95,218.885,0.5286,1.22166,0.23699,1.20859,0.83336,0.37492,0.5,0.47285,0.30567,0.10712,0.14286,0.10328,0.04285,1.86117,8.78345,0.64376,2.81837,1.98623,0.000130472,0.000130472,0.000130472
96,220.994,0.59226,1.28069,0.22688,1.28328,0.84954,0.56491,0.37217,0.47196,0.31735,0.21755,0.14286,0.1001,0.0422,1.90143,8.69449,0.62285,2.74598,1.96157,0.00011305,0.00011305,0.00011305
97,223.062,0.92035,1.76332,0.25921,1.65474,1.03119,0.56491,0.37217,0.47196,0.31735,0.21755,0.14286,0.1001,0.0422,1.90143,8.69449,0.62285,2.74598,1.96157,9.5232e-05,9.5232e-05,9.5232e-05
98,224.993,0.63431,1.22208,0.25686,1.3661,0.92261,0.56491,0.37217,0.47196,0.31735,0.21755,0.14286,0.1001,0.0422,1.90143,8.69449,0.62285,2.74598,1.96157,7.7018e-05,7.7018e-05,7.7018e-05
99,227.208,0.81265,1.3452,0.28619,1.3442,0.92067,0.56491,0.37217,0.47196,0.31735,0.21755,0.14286,0.1001,0.0422,1.90143,8.69449,0.62285,2.74598,1.96157,5.8408e-05,5.8408e-05,5.8408e-05
100,229.132,0.40471,0.96299,0.21771,1.1143,0.81519,0.66108,0.21429,0.48841,0.31217,0.27257,0.07143,0.10036,0.04222,1.84658,8.69468,0.60464,2.69321,1.91925,3.9402e-05,3.9402e-05,3.9402e-05
